               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,             0.11171,           0.0093577,            0.019201,             0.25932,             0.21811,             0.20029,            0.089608,             0.11609,             0.02057,            0.023436,             0.00604,             0.00604,             0.00604
                  62,             0.11068,           0.0092356,             0.01884,             0.23392,             0.23119,             0.19973,            0.088557,             0.11459,            0.019869,            0.023215,            0.005974,            0.005974,            0.005974
                  63,             0.11119,           0.0095329,            0.018456,             0.24249,             0.21007,             0.18921,            0.085273,             0.11791,            0.019942,            0.023812,            0.005908,            0.005908,            0.005908
                  64,             0.11146,           0.0094127,            0.018819,             0.24747,             0.23157,             0.20211,            0.091519,              0.1151,            0.020139,            0.022961,            0.005842,            0.005842,            0.005842
                  65,             0.11069,           0.0094312,            0.018735,             0.37255,             0.24221,             0.22027,            0.099677,             0.11351,             0.01982,            0.022761,            0.005776,            0.005776,            0.005776
                  66,             0.11108,            0.009525,            0.018634,             0.29351,             0.24353,             0.20306,            0.090517,             0.11382,            0.019867,            0.023149,             0.00571,             0.00571,             0.00571
                  67,             0.11085,           0.0093274,             0.01833,             0.26226,             0.22596,             0.21201,            0.094936,             0.11476,            0.019913,            0.023548,            0.005644,            0.005644,            0.005644
                  68,             0.11113,           0.0094599,            0.018811,             0.30946,             0.25124,             0.21705,            0.096356,             0.11461,            0.019867,            0.023229,            0.005578,            0.005578,            0.005578
                  69,             0.11009,           0.0093745,            0.018336,             0.29611,             0.24475,             0.21383,            0.096348,             0.11389,            0.020067,            0.022738,            0.005512,            0.005512,            0.005512
                  70,             0.10998,           0.0095116,            0.018215,             0.28679,             0.23362,             0.20452,            0.092039,             0.11356,            0.020178,             0.02279,            0.005446,            0.005446,            0.005446
                  71,             0.10962,           0.0092953,            0.018271,             0.32719,             0.24199,             0.21036,            0.093221,             0.11352,            0.020093,            0.022794,             0.00538,             0.00538,             0.00538
                  72,              0.1096,           0.0093649,            0.018337,             0.25963,             0.23237,              0.2128,            0.097576,             0.11345,            0.019737,               0.023,            0.005314,            0.005314,            0.005314
